47b: 5189
47g: 4094,5199
49a: 5202
49b: 5203
50a: 4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4110,4111,4112,4113,4114,5204
50b: 4138,5205
50c: 4139
50d: 4140,4141,4142,4143,4144
50e: 4145
50f: 4146
50g: 4147
50h: 4148
50i: 4149,4150,4151
50j: 4152,4153
50k: 4154,4155,4156
50l: 4157,4158,4159
50m: 5206
50n: 5207
50o: 5208
50p: 5209
50q: 5210
50r: 5211
50s: 5212
50t: 5213
50u: 4160
50v: 4161,4162,4163
50w: 4164
50aa: 4115,4116,4117,4118,4119,4120,4121,4122
51a: 4172,5214
51b: 4173
51e: 4176
51f: 4177
51h: 5215
51i: 5216
51j: 5217
51k: 5218,5219
51l: 5220
52b: 4189,5222,5223
