YR, MON, AMO Index 
1982,1,-0.06
1982,2,-0.057
1982,3,-0.059
1982,4,-0.161
1982,5,-0.17
1982,6,-0.163
1982,7,-0.207
1982,8,-0.288
1982,9,-0.286
1982,10,-0.35
1982,11,-0.396
1982,12,-0.359
1983,1,-0.277
1983,2,-0.082
1983,3,0.103
1983,4,0.081
1983,5,-0.027
1983,6,-0.033
1983,7,0.006
1983,8,-0.137
1983,9,-0.194
1983,10,-0.174
1983,11,-0.137
1983,12,0.019
1984,1,-0.085
1984,2,-0.066
1984,3,-0.103
1984,4,-0.136
1984,5,-0.144
1984,6,-0.303
1984,7,-0.244
1984,8,-0.204
1984,9,-0.187
1984,10,-0.322
1984,11,-0.403
1984,12,-0.296
1985,1,-0.333
1985,2,-0.308
1985,3,-0.335
1985,4,-0.379
1985,5,-0.316
1985,6,-0.106
1985,7,-0.131
1985,8,-0.26
1985,9,-0.226
1985,10,-0.223
1985,11,-0.273
1985,12,-0.315
1986,1,-0.321
1986,2,-0.253
1986,3,-0.271
1986,4,-0.303
1986,5,-0.207
1986,6,-0.239
1986,7,-0.227
1986,8,-0.251
1986,9,-0.198
1986,10,-0.297
1986,11,-0.376
1986,12,-0.35
1987,1,-0.256
1987,2,-0.196
1987,3,-0.011
1987,4,0.051
1987,5,0.09
1987,6,0.225
1987,7,0.301
1987,8,0.301
1987,9,0.216
1987,10,0.068
1987,11,-0.048
1987,12,0.065
1988,1,-0.02
1988,2,-0.095
1988,3,0.011
1988,4,0.072
1988,5,0.158
1988,6,0.185
1988,7,0.129
1988,8,0.011
1988,9,-0.076
1988,10,-0.152
1988,11,-0.128
1988,12,-0.145
1989,1,-0.202
1989,2,-0.138
1989,3,-0.234
1989,4,-0.271
1989,5,-0.128
1989,6,0.11
1989,7,0.196
1989,8,0.132
1989,9,-0.076
1989,10,-0.105
1989,11,-0.131
1989,12,-0.134
1990,1,-0.28
1990,2,-0.143
1990,3,-0.16
1990,4,-0.099
1990,5,-0.04
1990,6,-0.037
1990,7,-0.003
1990,8,0.071
1990,9,0.166
1990,10,0.132
1990,11,-0.035
1990,12,-0.017
1991,1,-0.176
1991,2,-0.098
1991,3,-0.051
1991,4,-0.114
1991,5,-0.135
1991,6,-0.111
1991,7,-0.089
1991,8,-0.091
1991,9,-0.019
1991,10,-0.244
1991,11,-0.243
1991,12,-0.196
1992,1,-0.173
1992,2,-0.076
1992,3,-0.075
1992,4,-0.167
1992,5,-0.204
1992,6,-0.133
1992,7,-0.202
1992,8,-0.363
1992,9,-0.352
1992,10,-0.282
1992,11,-0.317
1992,12,-0.267
1993,1,-0.223
1993,2,-0.169
1993,3,-0.227
1993,4,-0.156
1993,5,-0.147
1993,6,-0.164
1993,7,-0.26
1993,8,-0.211
1993,9,-0.147
1993,10,-0.226
1993,11,-0.301
1993,12,-0.276
1994,1,-0.279
1994,2,-0.292
1994,3,-0.262
1994,4,-0.183
1994,5,-0.19
1994,6,-0.205
1994,7,-0.214
1994,8,-0.219
1994,9,-0.135
1994,10,-0.043
1994,11,-0.003
1994,12,-0.074
1995,1,-0.046
1995,2,-0.023
1995,3,0.033
1995,4,0.092
1995,5,0.288
1995,6,0.38
1995,7,0.33
1995,8,0.2
1995,9,0.07
1995,10,0.118
1995,11,0.143
1995,12,0.058
1996,1,0.007
1996,2,-0.016
1996,3,-0.041
1996,4,0.026
1996,5,-0.048
1996,6,-0.107
1996,7,-0.088
1996,8,0.008
1996,9,0.015
1996,10,-0.128
1996,11,-0.157
1996,12,-0.138
1997,1,-0.075
1997,2,-0.019
1997,3,0.022
1997,4,0.024
1997,5,0.056
1997,6,0.025
1997,7,0.077
1997,8,0.032
1997,9,0.126
1997,10,0.167
1997,11,0.068
1997,12,0.148
1998,1,0.147
1998,2,0.308
1998,3,0.339
1998,4,0.308
1998,5,0.4
1998,6,0.506
1998,7,0.504
1998,8,0.529
1998,9,0.429
1998,10,0.399
1998,11,0.334
1998,12,0.296
1999,1,0.068
1999,2,0.074
1999,3,0.086
1999,4,0.069
1999,5,0.179
1999,6,0.197
1999,7,0.215
1999,8,0.324
1999,9,0.202
1999,10,0.034
1999,11,-0.032
1999,12,0.032
2000,1,-0.066
2000,2,-0.021
2000,3,0.121
2000,4,0.059
2000,5,0.122
2000,6,-0.001
2000,7,0.09
2000,8,0.12
2000,9,0.119
2000,10,-0.023
2000,11,-0.035
2000,12,-0.109
2001,1,-0.11
2001,2,-0.009
2001,3,0.032
2001,4,0.005
2001,5,0.008
2001,6,0.216
2001,7,0.153
2001,8,0.195
2001,9,0.304
2001,10,0.269
2001,11,0.174
2001,12,0.231
2002,1,0.199
2002,2,0.183
2002,3,0.162
2002,4,0.045
2002,5,-0.031
2002,6,-0.099
2002,7,-0.048
2002,8,0.124
2002,9,0.097
2002,10,0.129
2002,11,0.037
2002,12,0.022
2003,1,0.068
2003,2,0.005
2003,3,0.13
2003,4,0.097
2003,5,0.169
2003,6,0.223
2003,7,0.294
2003,8,0.433
2003,9,0.47
2003,10,0.444
2003,11,0.241
2003,12,0.242
2004,1,0.229
2004,2,0.227
2004,3,0.176
2004,4,0.126
2004,5,0.024
2004,6,0.196
2004,7,0.246
2004,8,0.335
2004,9,0.259
2004,10,0.26
2004,11,0.239
2004,12,0.206
2005,1,0.129
2005,2,0.144
2005,3,0.303
2005,4,0.31
2005,5,0.311
2005,6,0.345
2005,7,0.465
2005,8,0.458
2005,9,0.437
2005,10,0.256
2005,11,0.158
2005,12,0.235
2006,1,0.142
2006,2,0.093
2006,3,0.079
2006,4,0.216
2006,5,0.327
2006,6,0.352
2006,7,0.393
2006,8,0.42
2006,9,0.383
2006,10,0.353
2006,11,0.308
2006,12,0.19
2007,1,0.19
2007,2,0.236
2007,3,0.146
2007,4,0.178
2007,5,0.13
2007,6,0.107
2007,7,0.148
2007,8,0.074
2007,9,0.117
2007,10,0.177
2007,11,0.195
2007,12,0.13
2008,1,0.049
2008,2,0.147
2008,3,0.178
2008,4,0.062
2008,5,0.191
2008,6,0.275
2008,7,0.225
2008,8,0.194
2008,9,0.218
2008,10,0.122
2008,11,0.02
2008,12,0.038
2009,1,-0.04
2009,2,-0.145
2009,3,-0.141
2009,4,-0.111
2009,5,-0.042
2009,6,0.141
2009,7,0.247
2009,8,0.172
2009,9,0.077
2009,10,0.184
2009,11,0.089
2009,12,0.102
2010,1,0.059
2010,2,0.197
2010,3,0.307
2010,4,0.445
2010,5,0.479
2010,6,0.467
2010,7,0.47
2010,8,0.545
2010,9,0.469
2010,10,0.343
2010,11,0.255
2010,12,0.227
2011,1,0.163
2011,2,0.128
2011,3,0.075
2011,4,0.111
2011,5,0.172
2011,6,0.198
2011,7,0.111
2011,8,0.166
2011,9,0.164
2011,10,0.082
2011,11,-0.051
2011,12,-0.025
2012,1,-0.045
2012,2,0.024
2012,3,0.045
2012,4,0.1
2012,5,0.184
2012,6,0.32
2012,7,0.395
2012,8,0.451
2012,9,0.468
2012,10,0.349
2012,11,0.185
2012,12,0.161
2013,1,0.148
2013,2,0.135
2013,3,0.178
2013,4,0.156
2013,5,0.121
2013,6,0.066
2013,7,0.21
2013,8,0.214
2013,9,0.275
2013,10,0.367
2013,11,0.148
2013,12,0.056
2014,1,-0.042
2014,2,-0.023
2014,3,-0.061
2014,4,-0.074
2014,5,0.019
2014,6,0.082
2014,7,0.242
2014,8,0.355
2014,9,0.33
2014,10,0.312
2014,11,0.085
