season,iceon_year, iceon_month, iceon_day , iceoff_year, iceoff_month, iceoff_day ,source
1983,1983,1,22,1983,3,3,NSIDC
1984,1983,12,22,1984,4,8,NSIDC
1985,1985,1,9,1985,3,27,NSIDC
1986,1985,12,18,1986,4,1,NSIDC
1987,1987,1,23,1987,3,8,NSIDC
1988,1988,1,7,1988,4,5,NSIDC
1989,1989,1,5,1989,4,16,NSIDC
1990,1989,12,18,1990,4,1,NSIDC
1991,1991,1,1,1991,4,1,NSIDC
1992,1992,1,16,1992,3,29,NSIDC
1993,1993,1,8,1993,3,31,NSIDC
1994,1994,1,3,1994,4,9,NSIDC
1995,1995,1,25,1995,3,22,NSIDC
1996,1996,1,6,1996,4,24,NSIDC
1997,1997,1,5,1997,4,6,NSIDC
1998,-999,-999,-999,-999,-999,-999,NSIDC
1999,1999,1,9,1999,3,23,NSIDC
2000,2000,1,19,2000,3,3,NSIDC
2001,2001,2,9,2001,4,7,NSIDC
2002,2002,3,10,2002,3,17,NSIDC
2003,2003,1,18,2003,4,8,NSIDC
2004,2004,1,18,2004,3,25,NSIDC
2005,2005,1,12,2005,3,31,NSIDC
2006,2006,2,26,2006,3,9,NSIDC
2007,2007,1,29,2007,3,24,NSIDC
2008,2008,1,23,2008,4,6,NSIDC
2009,2009,1,1,2009,4,6,NSIDC
2010,2010,2,1,2010,3,11,NSIDC
2011,2011,1,14,2011,3,18,NSIDC
2012,-999,-999,-999,-999,-999,-999,NSIDC
2013,2013,2,1,2013,4,4,MIFL
2014,2014,1,5,2014,4,21,MIFL
